Timestamp,"CUNY, Undergrad Graduation Date (ex: City Tech, Fall 2018) ",CUNY Tech Prep Graduation Year ,"What best describes you, right now? ",Has the COVID-19 pandemic affected your employment status?,"CTP is creating an Alumni Directory that would include name, CUNY alma mater, email address, LinkedIn URL, and current job title & company— would you be open to CTP including your information in the Directory?","If you are an undergraduate student, where (college name) and what are you studying? ","If you are a graduate student, where do you attend (college name) and what are you studying? ",Are you working in a tech role in New York? ,"If you're NOT working in New York, what state are you working in? ",What's the name of the company where you work? ,Are you working full-time or part-time?,What is your title? ,Reflect on when you received a job offer for either your current tech position or the first tech position you took after graduating from CUNY Tech Prep (whatever came first). Did you receive the offer within 3 months of completing CTP? ,Are you working in a tech role in New York? ,"If you're NOT working in New York, what state are you working in? ",What's the name of the company where you work? ,What is your title? ,Reflect on when you received an internship offer for either your current tech position or the first tech position you took after graduating from CUNY Tech Prep (whatever came first). Did you receive the offer within 3 months of completing CTP? ,What company made you an internship offer? ,What resources could CUNY Tech Prep provide to best help you in your search? ,"Based on your experience at CUNY Tech Prep, what would you change about the program?",What would you keep the same about the program?,There are many volunteer opportunities available at CUNY Tech Prep. Check off any of the following that you'd be willing to participate in: ,What did you take away from your time with CTP?,Did your internship become a full time job?
2/9/21 19:46,"CSI, May 2020",Fall 2019 - Spring 2020 (Cohort 5),Graduate student,Haven't yet landed a position at a Tech company,"Yes, but no email address",NA,Yeshiva University Machine Learning and AI,No,,,Part-time,Direct Support Professional,,,,,,,,"Resume review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.)","Offer some sort of incentive to those participants who invest time in projects. Maybe something like Leetcode Premium or Interviewcake. There's a website called BigInterview, highly recommended. Believe it costs money, but if CTP would be able to sponsor students, I believe students would have have a legitimate edge on the competition. Possibly consider morning classes, people are wiped out at the end of the day, much harder to actually absorb information.","The leadership, the career coaches, the students, almost everything else.",Conducting Mock Technical Interviews,"3 big things I got from CTP:
1. An online presence
2. A solid resume
3. An idea of how much I have left to learn, and an idea of how to get there",
2/8/21 18:08,"City college, spring 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,Yes,,Adobe,Full-time,Devops Engineer,No,,,,,,Saatchi and Saatchi,,More in depth coverage of using git - particularly on how it's used in the workplace,The large project requirement,"Screening applicants for future cohorts of CUNY Tech Prep, Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector","A feeling that I was learning technologies that were useful in today's job market. Even though I don't use them in my current position, it made me more confident in my job search.",
2/8/21 19:00,"York College , Fall 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,Centivo,Full-time,Junior Software Engineer,No,Yes,,,,,,"Resume review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.)",Add more resources for Tech Interview Prep,Career Coach for each student,Conducting Mock Technical Interviews,Amazing network of peers form different schools.,
2/9/21 17:20,"Brooklyn College, Spring 2020",Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job",N/A,Yes,,,,,,,,,,,,,,,"Resume review, Behavioral interview prep, Networking events (TTP, alumni, etc.)",Maybe more communication with the students about how they feel about the program,Everything in my experience was great!  ,Taking part in Q&A panel(s) on your experience in the tech sector,Amazing people work hard behind the scenes  and fellow students are passionate about creating something  for themselves. ,
2/8/21 19:17,"CCNY, Fall 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,No,California,IBM,Full-time,Software Engineer,No,,,,,,,,"React is obviously widely used, but major companies don't run their backend in NodeJS. Java is better skill to have, because if the graduates of CUNY Tech Prep apply to software engineering roles it's almost critical their java skills are well developed. If not they need to be good at C or C++. Amazon only lets you interview in C++, C, or Java. Everyone asks if you're good in at least one of these 3 languages. And of course it's better if you know the fundamentals and learning the language will be easy, but you don't have that kind of time when you're starting at a company. I would highly suggest developing a React-Java MVP using graphql as the middleware.",The awesome teachers and career counselors are absolutely critical. The practice interviews (both behavioral and technical). ,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep","Be supportive of your peers, and help is always available you just need to ask (or sign up) :)",
2/8/21 18:59,Spring 2021,Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"No, I started a new role, remotely","Yes, but no email address",The City College of New York,,,,,,,,Yes,,Smart design ,Technology Intern,No,Bank of America ,"Resume review, Behavioral interview prep",N/a,"Individual resume reviews, schedule mock interviews ",,"CTP allowed me to work on a project outside of class. My team and I built a full stack web application and deployed it. It would not have been possible without our instructors and TA, as well as the hard work from my group and I ",
2/9/21 15:55,"Medgar Evers College, Fall 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,No,New Jersey,Amazon,Full-time,Software Development Engineer,No,,,,,,,,Absolutely Nothing. ,"The tutors, the teaching curriculum and how the program was coordinated. ",Conducting Mock Technical Interviews,CTP gave me the confidence I needed to tackle the challenges associated with technical/behavioral interviews.,
2/9/21 10:38,QC '20,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,Capital one,Full-time,SWE,No,,,,,,,,"More intv prep data structures and algo, less reactJS and website stuff. ","The staff, the selection process, the year long cohort ","Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector","CTP is a program I longed to join since my freshmen year. I liked the network, the teams that formed from there at hackathons, and the career acumen I found in seniors who were in it vs who were not. By the time I started ctp I already had my capital one offer, and I felt that the reasons I wanted to join the program earlier had sort of faded. I still had an amazing exp namely in 3 folds: 1) Emily's 1v1 sessions on word choices on my resume, I think I spent a lot of time and the end result cannot be without her help...btw (all the better when Brandan Collins shared his positive feedback since I've sent him my resumes for edits like 3-4 times that year and the final one he really liked...Tbh I think its a lot better now https://yasinehsan.com/YasinEhsan.pdf) 2) my bond with Matthew and Rageeb only grew. We both did the codepath ios bootcamp one year ago where we met and I had know idea how we inspired each other to become better...I feel the peer effect is real and drive each other to become better. I am happy where we are at right now and I think we can rise way above and make breakthru software products and if and when that happens ctp deserves cred in fostering a home for us to get closer, more ambitious and driven 3) the react workshops which I paid zero attention to but I sat thru it...I believe in learning in layers so instead of trying to learn it all at first impression to get exposed to it and later come and hone the skill/lang thru practice. I can say I started picking up react again for my side hustle and I was so easily able to pick it up since the words like ""props"" and ""js sytanx"" was in my subconcious from edgardo's lectures. Fun fact so heres some direct dividends of these lectures: for our side hustle https://chronogrp.com/ I built this website https://www.goldenblocksconstruction.com/ which client payed 2k and essentially took me approx. a day to build...all possible thru the first impressions I had with react. Lastly I can say one advice for future CTP program sessions is to half say 50-75 of total lectures be on data structures and algo...anyone can watch a youtube video and paste that on their ""projects"" section and that six-fig job intv, but most will not pass it. AT the end of the day passing the intv has a lot to do with luck but the part its not should be solid 10/10. Thats what I feel this program can curate to aim more students be able to solve leetcode medium questions on av 20 mins (the hire bar for fb)...which I can no way do but also don't put much time into since my focus has shifted...but if I give advice that's what students need. If they are able to master interview and know their confidence in the skills they will - almost garunteed - find a way to land the intv and figure out all nessesary skills (like react etc) to appear more marketable. (Thank you for reading my ramble)  ",
2/8/21 22:27,"Queens College, 2021 Spring",Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"No, still looking for work as full time student.",Yes,"Queens College, Computer Science",,,,,,,,,,,,,,"Resume review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network","Add more optional workshops, topics to go over ",curriculum and mentorship opportunity,Screening applicants for future cohorts of CUNY Tech Prep,CTP provided a great road map along with the required technical skills to navigate into the industry. ,
2/12/21 22:18,"Brooklyn College, Fall 2021",Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,It affected me the way that I have to work more at a job that is not related to my career,Yes,"Brooklyn College, Computer Science",,No,I work at a coffee shop,Velvette Brew,Part-time,Barista,No,,,Velvette Brew,Barista,,,"Networking events (TTP, alumni, etc.), Alumni Slack network, Mock technical interviews",The program is excellent! I miss to see everyone in person! I would want to have more in depth lectures.,"Networking, Workshops, Opportunities!",,"CTP showed me how the industry actually works. Demonstrated me all the skills I have to be equipped with in order to be competitive in the field. Also, a great place to network, make connections and friend who are passionate about the same things  ",
2/5/21 1:27,"Brooklyn College, Spring 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,No,North Carolina,Red Ventures,Full-time,Associate Engineer ,Yes,,,,,,"Canvs, HBO, NBC, ConEdison",,"I think continuing to branch out and adding more pathways like cyber security, game development, or UX/UI in the future is a great idea.","I love the availability of classes, really makes it easy to cater to different student schedules in addition to providing the opportunity for monthly metro cards so everyone can afford the travel to class. I also think the teachers and TAs are super awesome and do a great job explaining tech concepts and how they are used in actual software engineering roles.","Screening applicants for future cohorts of CUNY Tech Prep, Taking part in Q&A panel(s) on your experience in the tech sector",CTP taught me how to apply tech concepts in order to build projects that resembled what actual software engineers work on.,
2/10/21 16:47,"Baruch College, Spring 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,EY,Full-time,Technology Consultant,Yes,,,,,,,,"No criticisms, the program offered everything I needed when I was there.","Career coach relations were crucial to my success, so I think those will always be relevant and a huge part of what drives the program.","Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector","CTP was a large part of bridging the gap in learning I felt that students in my school’s Information Systems major had with other students. The tools I was introduced to, the industry knowledge I picked up from instructors and other students, and the support I received from career coaches propelled me into landing my first full time position.",
2/9/21 19:26,"Hunter, Fall 2017",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely, No, I started a new role, remotely","Yes, but no email address",,,Yes,,Better.com,Full-time,Data Engineer,Yes,,,,,,,,More variety in focuses instead of web dev— though it seems the program is already doing that with the data science track.,"Mentorship, mock interviews, group projects, career training ","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Taking part in Q&A panel(s) on your experience in the tech sector",Don’t be afraid to step into the limelight. Reach out to people. Ask questions. Force yourself to do things you don’t want to do. You’ll be surprised at how much you learn when you step out of your comfort zone.,
2/9/21 19:21,"CCNY, Winter 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,BNY Mellon,Full-time,Graduate Developer,No,,,,,,,,"Enforcing industry best practice. For instance make student to have scrum meeting, following agile practice, proper git branching structure and etc","Opportunity like networking event, mock interviews.. basically everything.",,Experience and knowledge in actual development work,
2/10/21 14:05,Brooklyn,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,NuArch,Full-time,Software Developer/Tester,No,No,,,,,NuArch,"Resume review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network",N/A,N/A,"Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector","Full stack development, intro to devops, project management, and more soft skills.",
2/8/21 21:07,ccny spring 2018,Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,foursquare,Full-time,software engineer,Yes,,,,,,,,"not sure, the program was really good connections",keep the connections with the tech companies,"Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",helpful program. people like jackie and emily are super helpful,
2/4/21 9:25,"Queens College, Spring 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I started a new role, remotely, Was let go when COVID happened, found new job shortly after (it is remote currently)",Yes,,,Yes,,Ghostery,Full-time,Backend Engineer,Yes,,,,,,,,"Maybe add some more backend/devops topics, i.e. database design, deploying/releasing software, and internet/networking topics",Keep teaching javascript and react,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s)","How to work on teams and open source, and the skills needed to be a software engineer",
2/8/21 21:04,"Medgar Evers, May 2021",Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"Yes, my offer was rescinded",Yes,"Medgar Evers College, studying Computer Science.",,,,,,,,,,,,,Google,"Resume review, LinkedIn profile review","Allowing students more time to create groups for their Fall project, I was unfortunate enough to be stuck with a group that did not contribute.","Besides my group being the way they were, the rest of the experience was amazing and I wouldn't change a thing; even the transition to virtual classes during March was handled so well and so smoothly.",Conducting Mock Technical Interviews,I became a more well rounded programmer who also better understood how to navigate in the tech industry.,
2/8/21 20:21,"CCNY, Fall 2021",Fall 2019 - Spring 2020 (Cohort 5),Intern (full-time or part-time),"No, I am still working, now remotely",Yes,"The City College of New York, Computer Science",,Yes,,CUNY RF ,Part-time,Undergraduate Research Assistant ,Yes,Yes,,CUNY RF,Undergraduate Research Assistant ,Yes,"The CUNY Research Foundation (Part Time), NOAA Crest (Part time),","Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network, Technical Interview Prep",Help teams organize during the ice breaker workshop. Teach them how to set up slack/discord with github webhook integrations so that everyone on the team is notified when someone pushes a change. Could prevent them from having merge conflicts and other issues through the semester. ,"The workshops, the mentoring, the fun exercises! ",,"I can't really sum it all up, but it gave me the feedback I needed to hone my technical skills and gave me confidence for how to apply to other positions and job openings. ",
2/12/21 9:58,"CCNY, Fall 2020",Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job","Yes, my role was eliminated",No,,,,,,,,,,,,,,Science Division at The City College of New York,"At the moment, not much. I have utilized their resources to the fullest extent thus far.","Looking back, I wish there were more hands on experiences during the lectures. I believe in my first semester with CTP, we spent a lot of time in the beginning going over HTML, CSS, and JavaScript. I think the students might benefit from having a much smaller review period of these languages and jumping quicker into the front-end and back-end of full-stack projects. 

For me personally, I think we would have learned more and learner quicker if we did not speak about the theory of many of these topics as much and did more coding and actual assignments within the classroom. Spending majority of the class coding and doing mini projects together while also talking about the mechanics might have been more beneficial for me instead of looking over slides. ",This program as a whole is amazing. The way I was able to interact and connect with new people was easy and great. The resources given was better than at my own college. The capstone projects gave something to work towards. I would keep majority of it the same.,,"I did not just come out of CTP a better programmer, but a much more confident person. The anxiety of starting projects and applying to SWE positions was almost gone because of how CTP prepared me.",
2/16/21 22:04,Fall 2018,Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely","Yes, but no email address",,,No,California,Pixar,Full-time,Production Support Engineer,No,,,,,,,"Networking events (TTP, alumni, etc.)",N/A,Career Coaches and mock interviews,Taking part in Q&A panel(s) on your experience in the tech sector,I had a stronger technical resume and a better understanding of how to write cover letters. The practice we had helped a lot during the technical interview and coding challenge.,
2/8/21 18:34,CCNY Fall 2020,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely, I will be starting my new role in Feb 16th remotely","Yes, but no email address",,,Yes,,BNY Mellon ,Full-time,SETUP Developer track,Yes,,,,,,,,"Nothing particularly, I like this program overall, and it indeed helped me a lot","Career coaching, quality lessons, various workshops and events",,"I learned different technologies and actually used them to build something cool, I think this is a great learning experience, plus there were career coaching and various workshops that really helped me prepare myself for job seeking and interview later on.",
2/8/21 22:04,New York,Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"No, I started a new role, remotely",Yes,Brooklyn College,,No,"Richmond, Virginia",Capital One,Full-time,Software Engineer,Yes,,,,,,,,"I think CTP is an amazing program for college students looking to go into tech. I would have liked to see a stronger referral program backed by previous alum, however I do understand Its a program still at its infancy and will only grow. ","The format that its in, I liked the way CTP focused on both the technical as well as behavioral aspect of job hunting. I think that's pivotal for a Software Engineer role. ","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep",I learned that It can be hard to navigate through academic career and be ready for professional transition at moments notice. It becomes easier if you can learn from your peers and grow. It becomes that much easier to learn the Do's and the Dont's. ,
2/16/21 2:25,"CCNY, Spring 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,Google,Full-time,Software Engineer,,,,,,,,,"I think that's already being done but I would introduce more tracks that students can choose from (e.g. iOS, Android, Web, AI, Data Science). Back when I was there, there was only one track even if you weren't as interested in Web Development. ","The professional development support (coaches, resume review, and mock interviews) as well as the setup of having some lecture and hands-on time with some instructors that can help guide. ","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector","I learned that with determination and by applying myself, I can achieve anything and become a great engineer.",
2/8/21 21:15,Spring 2017,Fall 2016 - Spring 2017 (Cohort 2),Employee (full-time or part time),"Yes, I had to take a job at much lower pay than expected. The market got even worse",Yes,,,Yes,,Virtusa,Full-time,Web Application Developer,No,,,,,,,"Resume review, Networking events (TTP, alumni, etc.), Alumni Slack network",I would put more focus on how to find a job. It is BAD out there for entry-level and even junior-level.,"I loved the lectures about data structures and topics that go beyond school's topics. I learned a lot. Also, the code reviews helped me more than I had expected.","Conducting Mock Technical Interviews, Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",I loved having our little community.,
