Timestamp,"CUNY, Undergrad Graduation Date (ex: City Tech, Fall 2018) ",CUNY Tech Prep Graduation Year ,"What best describes you, right now? ",Has the COVID-19 pandemic affected your employment status?,"CTP is creating an Alumni Directory that would include name, CUNY alma mater, email address, LinkedIn URL, and current job title & company— would you be open to CTP including your information in the Directory?","If you are an undergraduate student, where (college name) and what are you studying? ","If you are a graduate student, where do you attend (college name) and what are you studying? ",Are you working in a tech role in New York? ,"If you're NOT working in New York, what state are you working in? ",What's the name of the company where you work? ,Are you working full-time or part-time?,What is your title? ,Reflect on when you received a job offer for either your current tech position or the first tech position you took after graduating from CUNY Tech Prep (whatever came first). Did you receive the offer within 3 months of completing CTP? ,Are you working in a tech role in New York? ,"If you're NOT working in New York, what state are you working in? ",What's the name of the company where you work? ,What is your title? ,Reflect on when you received an internship offer for either your current tech position or the first tech position you took after graduating from CUNY Tech Prep (whatever came first). Did you receive the offer within 3 months of completing CTP? ,What company made you an internship offer? ,What resources could CUNY Tech Prep provide to best help you in your search? ,"Based on your experience at CUNY Tech Prep, what would you change about the program?",What would you keep the same about the program?,There are many volunteer opportunities available at CUNY Tech Prep. Check off any of the following that you'd be willing to participate in: ,What did you take away from your time with CTP?,Did your internship become a full time job?
2/8/21 18:11,"Hunter, Spring 2019",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I started a new role, in person","Yes, but no email address",,,Yes,Pennsylvania,Google,Full-time,Software Engineer,No,,,,,,,,"Maybe it's because I'm not used to bootcamps but teaching web development by giving you a full example project and then make you do it on your own is very not helpful. I remember when I was doing it it was a lot of copy paste of the example project you gave us and not really learning anything. It was something on top of the classes I had already so it wasn't necessarily a priority too. I feel like since you're working for CUNY, securing some type of way to guarantee credits for taking the bootcamp is a good way to go. ",The unlimited metrocards were really nice and convenient. ,,I met some cool people,
2/9/21 10:56,Hunter College Spring 2020,Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job",still looking for full time job ,Yes,,,No,,,,,,,,,,,,"LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network","I thought everything was great, especially being able to have behavioral interviews after graduating ",Posting on slack about opportunities ,Taking part in Q&A panel(s) on your experience in the tech sector,"I took away how to write a better resume, how to do the STAR method and how to effectively research a company when applying as well as how to find networking events online ",
2/9/21 0:40,"Baruch College, Spring 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),In the process of starting my own company back in India,Yes,,,,,,,,,,,,,,,,Make learning more hands on. Increase the number of hours for in person classes & learning,The spirit and friendliness of everyone involved. I loved the camaraderie among all CUNY Tech Prep students even though most of them were from different colleges spread out across all five boroughs,,I took away that it takes a lot of effort to organize and upskill individuals who will be entering the workforce. I hope to make the most of the things I learnt at CTP to launch a successful company and hopefully give back to CTP in some form or another. ,
2/10/21 21:34,"Hunter College, Spring 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely","Yes, but no email address",,,No,CT,Travelers,Full-time,Software Developer,Yes,,,,,,,,"I think enforcing a little more behavioral interview practice. Not a lot of students including myself at the time saw benefit from behavioral interviews but they're extremely important. Even now as I mock interview cohort 6, I like to start with a quick ""give me a brief overview of your resume"" and many students aren't as prepared for a behavioral question. ","I thought the lectures had a great balance of theory and hands-on stuff. Very useful being able to code while having a mentor there for guidance just in case. The lectures towards the end of the year were also incredibly useful-Hard/advanced topics such as sockets, cyber security stuff come up a lot in the workplace. The push to network was great too. 
I'd keep everything the same and if possible add even more awesome stuff. ","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep","I took with me a lot of knowledge gained from mentors, lectures and counselors & a broad network of CTP and CUNY friends.",
2/10/21 11:14,"York, Spring 2017",Fall 2016 - Spring 2017 (Cohort 2),Employee (full-time or part time),"Yes, my role was eliminated",Yes,,,Yes,,Faethm AI,Full-time,Client Onboarding Data Analyst,No,Yes,,Faethm AI,Client Onboarding Data Analyst,No,,,I wish there had been more information/practice for job-hunting and interview preparation,I appreciated the one-on-one mentorship,"Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",It helped me develop confidence in my technical skills.,
2/8/21 21:40,"City College, Fall 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,Yes,,Datadog,Full-time,Software Engineer,Yes,,,,,,Capital One,,More speakers from industry to get a better idea of how it is to work in tech.,Mock interviews were super useful and helpful.,Conducting Mock Technical Interviews,It was amazing seeing how little I knew prior to the program and managed to learned the necessary skills to build a fully functional project to demo with my team. ,
2/8/21 19:48,Queens Village,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,No,Currently in New York due to wfh but the offer is in Virginia,Capital One,Full-time,Associate Software Engineer,Yes,,,,,,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network","This is far fetch but I'm thinking to structure the program to accommodate other tech related jobs like cyber security ,data analyst, Machine Learning etc. maybe have projects that can encompass more than one field of the industry based on student's interests","Keep educating college students on the tech industry, and networking. ",,"Knowledge of the different branches of the tech industry, what software engineering is, working on a project as a team, communication",
2/9/21 0:56,Fall 2019,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely","Yes, but no email address",,,No,Virginia,Capital One,Full-time,Software Engineer Associate,No,,,,,,,,"I feel like the program needs to teach more about scrum methodologies and github practices, because I feel fundamentals are also very important. Also, the instructor should shed some light on job pipelines and different tests such as integration test, unit test, component test and performance.",Fullstack lectures and mock exams especially behavioral.,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep",Learned how to manage time and work as a team.,
2/16/21 16:58,5/1/20,Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job","Yes, my role was eliminated, Yes, my offer was rescinded, Yes, my hours were reduced","Yes, but no email address",CUNY Queens College,,No,,,,,No,,,,,,"NYC Comptroller, Peloton","Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network","More emphasis on online assessments/coding interviews. CTP does a good job making sure you look like a good candidate, and preps well for behavioral interviews but I feel like a deeper dive in algorithms/hackerranks/leetcodes might help even as a ""do-on-your-own-time"" kind of thing",The courses currently offered + the demo night,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics","Learned technologies that weren't taught in school, helped prep me for interviews, helped enhance my profile as a solid candidate for dev roles",
2/12/21 1:31,"City College, August 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely","Yes, but no email address",,,Yes,,Oscar Health,Full-time,Associate Software Engineer,No,,,,,,,,"It's been way too long for me to remember, and the program's probably changed quite a bit since my cohort.",see above,,"Mostly my skills with React, which helped me get hired.",
2/4/21 13:59,"Baruch College, Spring 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,No,,Ernst & Young,Full-time,Staff Consultant,Yes,,,,,,,"Networking events (TTP, alumni, etc.), Alumni Slack network","I'd change the potential job prospects offered to students. In my case, when I was recommended to apply to Ernst & Young, I was under the impression that I'd be a technology/software engineering consultant but after about 18 months I've yet to be on a software engineering project. Now I'm thinking to get back into preparing and finding a software engineering but the hours in consulting are brutal and I feel like I'm stuck professionally. Please help :(","The pacing, while somewhat rapid, was conducive to learning. Any faster or slower would've resulted in less engagement IMO. ",,"My time at CTP built my confidence in my technical abilities and the course material enhanced my high level thinking. While I did grow as a software developer and managed to land a job right after college thanks to CTP, I've found myself in a situation where I'm not applying anything I learned from CTP in my day to day work and it's hurting my prospects as a software developer.",
2/10/21 12:31,"Baruch College, Winter 2021",Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job","Yes, my role was eliminated",Yes,,,,,,,,,,,,,,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network, Frankly, CTP has done a lot for me already. Personally, I simply need to build some projects to improve my confidence in my abilities to work as an SD.","Nothing at all. The areas of opportunity for CTP were mostly due to funding. It is obvious that the program is headed in the right direction and as more funding becomes available the program will continue to be better. In that sense, I envy the future cohorts, but I wouldn't change a thing from my experience at CTP.","The program's managers and staff, especially Emily and Edgardo!",,"Practice, practice, practice both behavioral and technical interviews. I met some amazing and intelligent people there too.",
2/9/21 9:50,"CCNY, Spring 2020",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,Yes,,Scholastic Corporation,Full-time,Associate Software Engineer,Yes,,,,,,,,"If I remember, tech interview sessions (the one where we gather in normal class time and go over interview questions together, not 1 on 1 mock interview) started in the second semester. I think it would be good if even one or two can be in the first semester, for students to get exposure to it.",everything else,,Project collaboration,
2/9/21 21:36,"Brooklyn College, Spring 2021",Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"No, I a starting a new role soon.",Yes,Brooklyn College,,No,,,,,No,,,,,,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network",N/A,Everything,"Conducting Mock Technical Interviews, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",Real life experience and improving skills.,
2/8/21 22:50,"College of Staten Island, Spring 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,"NYU, Computer Science ",Yes,,Bloomberg L.P. ,Full-time,Software Engineer,Yes,,,,,,,,Get students to do more mock interviews ,Combine practical tech projects and lectures,Conducting Mock Technical Interviews,The importance of interview prep,
2/8/21 18:07,Baruch 2018,Fall 2016 - Spring 2017 (Cohort 2),"Graduated, looking for a tech job","Yes, my offer was rescinded",Yes,,,No,Looking for a job ,,,,No,,,,,No,,"Resume review, Cover letter review, LinkedIn profile review, Networking events (TTP, alumni, etc.)",Make it more applicable to the job market ,The mentor ship ,"Mentoring one (or more) CUNY Tech Prep Project Team(s), Taking part in Q&A panel(s) on your experience in the tech sector",The technical knowledge ,
2/8/21 18:34,"City Tech, Fall 2018",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I am still working, now remotely, No, I started a new role, remotely","Yes, but no email address",,,Yes,,Pursuit / Evy planner ,Full-time,Web instructor / software developer ,Yes,,,,Web Instructor,,DCAS,,"The process in the curriculum, maybe have a planned out calendar / README on what’s the class is going to go over. Maybe some prereadings for what’s to come.  ",Everyone who works at CTP !!,,The valuable skills that I am using in my current position,
2/10/21 15:53,Spring 2022,Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"No, I am still working, now remotely","Yes, but no email address",Medgar Evers College,,No,,Lazard Fréres & Co,Full-time,Presentation Specialist Consultant,,,,,,,,"Networking events (TTP, alumni, etc.), Alumni Slack network",n/a,Everything. The program was great. Everyone was supportive. My circumstances kept me from making the most of the program. ,,"Through CTP, I learned that I have a stronger support network than I thought I did. ",
2/12/21 9:56,"Baruch College, May 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,No,California,Google,Full-time,Software Engineer,Yes,,,,,,,,N/A,Group Projects,,"Without CTP, I wouldn't be where I am today.",
2/9/21 16:40,CSI 2022,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,College of Staten Island,,Yes,,Vital Check,Full-time,Software Engineer and Operations Manager,No,Yes,,VitalCheck,Software Engineer and Operations manager,No,,"Resume review, LinkedIn profile review, Behavioral interview prep, Regular Tech Interview","The one thing I think should be touched on using code in production. I learned one thing in the company I work for and it's that code reusability is EXTREMLY important. Also possibly creating classes around API's are important. For example. The company I work for has a custom built DAO. We then .stream().map(record -> new UpscaledManager(record)).collect(Collectors.toList()); where we get a list of records and scale it into a manager where the manager handles all buisness logic. I think one thing that will help CTP stand apart from other bootcamps would be not only teaching people how to use just express and react, but rather how to reflect on problems and generate good production ready solutions.",The instructors are great! ,Conducting Mock Technical Interviews,,
2/9/21 12:37,"Queens, Fall 2016",Fall 2016 - Spring 2017 (Cohort 2),Employee (full-time or part time),"No, I am still working, now remotely","Yes, but no email address",,,Yes,,Ernst and Young,Full-time,Software Engineer Consultant,Yes,,,,,,,,NA,NA,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep",,
2/8/21 18:20,"Brooklyn College, Fall 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,Yes,,Shipwell,Full-time,Frontend Engineer,No,,,,,,,,Highlight more differences / allow more focus between frontend & backend. More project / repo work. More social media / network workshops,The schedule breakdown was great,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",,
2/9/21 9:29,Spring 2020,Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job",looking for a role,Yes,College of Staten Island,,No,looking for a job,N/A,,,,,,,,,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network",more preparation for job hunting. ,Everything,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics",,
2/8/21 18:34,CCNY Spring 2020,Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,No,Georgia,IBM,Full-time,Software Engineer ,No,,,,,,Tumblr,,"Not sure, maybe nothing","Curriculum, group project approach","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",,
2/3/21 18:40,"City Tech, Spring 2017",Fall 2016 - Spring 2017 (Cohort 2),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,JPMorgan,Full-time,Associate Software Engineer,Yes,,,,,,,,"Several of the students in the last few cohorts have been struggling with behavioral interviews, specifically around how to leverage their academic/project experience. Unsure if this is a personal deficiency, or if there could be additional focus in this area during career coaching sessions.",Expansion of the program to include a data science track is awesome and continued evolution of the course material is critical.,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",,
2/3/21 20:06,"City College, Spring 2019",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely","Yes, but no email address",,,Yes,,IBM,Full-time,Software Developer,No,,,,,,,,"I would add focus on testing, accessibility, and open source contributions","Project-based learning, mock interviews, networking, teamwork and more...","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s), Taking part in Q&A panel(s) on your experience in the tech sector",,
2/8/21 18:12,"City College, Fall 2017 ",Fall 2016 - Spring 2017 (Cohort 2),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,American Express ,Full-time,Product Manager ,Yes,,,,,,,,More emphasis on data structures and algorithms ,Networking,"Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",,
2/8/21 22:19,"City College of New York, Fall 2020",Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job","No, I'm currently looking for a tech job.",Yes,,,,,,,,,,,,,,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network","A workshop to show some tips or tricks of solving coding interviews. For example, going over some data structures and algorithms to help solve complicated coding questions.",Everything. I enjoy everything Cuny Tech Prep provided. A lot of useful resources.,"Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s)",,
2/8/21 19:22,Spring 2019,Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely","Yes, but no email address",Hunter College - Computer Science,,Yes,,Google,Full-time,Software Engineer,Yes,,,,,,,,"Give more pre-work before starting the program. Students would be concerned with the amount of workload and new technologies they had to learn when in the program. HTML, CSS and basic JS are easy to learn independently, allowing for more time focusing react and backend technology during the program. ","Mock interviews, resume help, behavioural interviews and the cohort aspect were all extremely beneficial",,,
2/3/21 19:43,Brooklyn College 2020,Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job",Searching for a job since the end of CTP with no interviews yet,Yes,,,,,,,,,,,,,,,Hard to say. I've literally received nothing back.,I really didn't like having to come up with my own project idea,Don't know,,,
2/8/21 18:15,"Queens College, Spring 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"Yes, my hours were reduced, No, I started a new role, remotely, Hours reduced in previous job, got a new job that is remote until further notice. I also was not compensated as originally agreed upon (verbally) due to the pandemic. They are raising me gradually though, 1 raise was already provided a few months in.",Yes,,,Yes,,BlueSwitch,Full-time,Front End Developer,Yes,,,,,,,,"If not already doing so, offer more remote meetings/classes. More can be accomplished with less time spend commuting, etc. Group projects with only 2 people is best, in my opinion. That way, both can do plenty of the work while constantly helping each other out when they are stuck.",Useful topics were covered,,,
2/14/21 13:41,"Hunter College, Spring 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,Spruce Technology,Full-time,Technical Consultant,No,,,,,,,,"Include experience with Microsoft technologies.   Azure DevOps and Visual Studio, possibly .net framework.  ",The group project,,,
2/8/21 18:07,"Queens College, Spring 2021",Fall 2018 - Spring 2019 (Cohort 4),Undergraduate student,"No, I started a new role, remotely",Yes,Queens College,,No,,Play Study Win,Part-time,Instructor,No,,,,,,,"Networking events (TTP, alumni, etc.), Alumni Slack network","It was a rewarding experience, I just wish I took more advantage of it.","Everything, it was a good experience.",,,
2/8/21 18:28,Brooklyn College spring 2020,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,University of Southern California - Astronautical Engineering,No,PA,Raytheon,Full-time,Software engineer,Yes,,,,,,,,more technical Q practice,The hands-on projects were great,,,
2/3/21 20:14,"City College, Spring 2018",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,Broadridge ,Full-time,,No,,,,,,,,More time for coding interview ,Mock interviews ,,,
2/8/21 19:35,CCNY Spring 2019,Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",No,,,Yes,,Flatiron Health,Full-time,Software Engineer,Yes,,,,,,,,n/a,The career coaching and interview prep was super helpful,,,
2/8/21 19:03,"CCNY, May 2017",Fall 2016 - Spring 2017 (Cohort 2),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,No,Massachusetts,Verily Life Sciences,Full-time,Software Engineer,Yes,,,,,,,,Not sure,Project focus,,,
2/8/21 23:38,Spring 2020,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"Yes, my role was eliminated",No,,,No,New york,,Full-time,,Yes,No,,,,Yes,"Natural Organics, Inc.",,"Unsure, it was great overall","Group Projects, Behavioral & Technical Interviews, Demo Day",,,
2/18/21 11:20,Staten Island,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,No,GA (NY Remotely),Tata Consultancy Services,Full-time,Associate Software Engineer,No,No,Georgia (NY Remotely),Tata Consultancy Services,Associate Software Engineer,No,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network",Really nothing,Everything,"Screening applicants for future cohorts of CUNY Tech Prep, Taking part in Q&A panel(s) on your experience in the tech sector","A focus, clarity and drive that isn't exposed or afforded to students in an academic setting.",
2/22/21 19:02,"Queens College, Spring 2020",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,Yes,,Summus Global,Full-time,Software Engineer,No,,,,,,,,"Nothing, CTP helped me deepen my understanding of Full-Stack development, and I'm stoked they expanded into Data Science too.",Everything,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep","Being a great developer means being able to understand code structure and applications, and being able to market/showcase your skills to companies that are hiring.",
2/22/21 23:02,City College of New York Fall 2020,Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,Bank of America,Full-time,Technology Analyst,No,,,,,,,,More emphasis on interviewing,Full stack with Edgardo,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep",I like CTP,
3/3/21 13:05,"Brooklyn College, Spring 2021",Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,not working now but my offers remained and I interned remotely,"Yes, but no email address",Brooklyn College - Computational Math & Physics ,,,,,,,,,,,,,"Apple, Facebook, & Amazon","Resume review, Behavioral interview prep, practice interviews with alums ",more opportunities for recruiting -- like partnerships with companies & exclusive job fairs. ,everything else :),"Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector, Hosting a site visit at your office",,